drug_id,name,normalized_name,source
drug:abacavir,Abacavir,abacavir,ddinter
drug:naltrexone,Naltrexone,naltrexone,ddinter
drug:orlistat,Orlistat,orlistat,ddinter
drug:aluminum_hydroxide,Aluminum hydroxide,aluminum_hydroxide,ddinter
drug:dolutegravir,Dolutegravir,dolutegravir,ddinter
drug:aprepitant,Aprepitant,aprepitant,ddinter
drug:attapulgite,Attapulgite,attapulgite,ddinter
drug:calcium_acetate,Calcium acetate,calcium_acetate,ddinter
drug:calcium_carbonate,Calcium carbonate,calcium_carbonate,ddinter
drug:calcium_citrate,Calcium citrate,calcium_citrate,ddinter
drug:calcium_glubionate_anhydrous,Calcium glubionate anhydrous,calcium_glubionate_anhydrous,ddinter
drug:calcium_gluconate,Calcium gluconate,calcium_gluconate,ddinter
drug:calcium_lactate,Calcium lactate,calcium_lactate,ddinter
drug:calcium_phosphate,Calcium Phosphate,calcium_phosphate,ddinter
drug:iron,Iron,iron,ddinter
drug:cimetidine,Cimetidine,cimetidine,ddinter
drug:clarithromycin,Clarithromycin,clarithromycin,ddinter
drug:clotrimazole,Clotrimazole,clotrimazole,ddinter
drug:dexamethasone,Dexamethasone,dexamethasone,ddinter
drug:kaolin,Kaolin,kaolin,ddinter
drug:lactitol,Lactitol,lactitol,ddinter
drug:lamivudine,Lamivudine,lamivudine,ddinter
drug:magaldrate,Magaldrate,magaldrate,ddinter
drug:magnesium_carbonate,Magnesium carbonate,magnesium_carbonate,ddinter
drug:magnesium_chloride,Magnesium chloride,magnesium_chloride,ddinter
drug:magnesium_citrate,Magnesium citrate,magnesium_citrate,ddinter
drug:magnesium_gluconate,Magnesium gluconate,magnesium_gluconate,ddinter
drug:magnesium_hydroxide,Magnesium hydroxide,magnesium_hydroxide,ddinter
drug:magnesium_oxide,Magnesium oxide,magnesium_oxide,ddinter
drug:magnesium_sulfate,Magnesium sulfate,magnesium_sulfate,ddinter
drug:mannitol,Mannitol,mannitol,ddinter
drug:metformin,Metformin,metformin,ddinter
drug:miconazole,Miconazole,miconazole,ddinter
drug:sorbitol,Sorbitol,sorbitol,ddinter
