from_id,monograph_url,title,section_count,trust_level
ingredient:acarbose,https://trungtamthuoc.com/hoat-chat/acarbose,Acarbose,23,secondary_duocthu_reference
ingredient:acebutolol,https://trungtamthuoc.com/hoat-chat/acebutolol,Acebutolol,23,secondary_duocthu_reference
ingredient:aceclofenac,https://trungtamthuoc.com/hoat-chat/aceclofenac,Aceclofenac,17,secondary_duocthu_reference
ingredient:acenocoumarol,https://trungtamthuoc.com/hoat-chat/acenocoumarol,Acenocoumarol,20,secondary_duocthu_reference
ingredient:acetazolamide,https://trungtamthuoc.com/hoat-chat/acetazolamide,Acetazolamide,25,secondary_duocthu_reference
ingredient:acetylcystein,https://trungtamthuoc.com/hoat-chat/acetylcystein,Acetylcystein,30,secondary_duocthu_reference
ingredient:acetyl_dl_leucine_acetylleucine,https://trungtamthuoc.com/hoat-chat/acetyl-dl-leucine,Acetyl-DL-Leucine (Acetylleucine),15,secondary_duocthu_reference
ingredient:acid_alendronic,https://trungtamthuoc.com/hoat-chat/acid-alendronic,Acid Alendronic,24,secondary_duocthu_reference
ingredient:acid_alpha_lipoic_ala_acid_thioctic,https://trungtamthuoc.com/hoat-chat/acid-alpha-lipoic,Acid Alpha Lipoic (ALA; Acid Thioctic),18,secondary_duocthu_reference
ingredient:acid_azelaic,https://trungtamthuoc.com/hoat-chat/acid-azelaic,Acid Azelaic,18,secondary_duocthu_reference
ingredient:acid_boric,https://trungtamthuoc.com/hoat-chat/acid-boric,Acid Boric,15,secondary_duocthu_reference
ingredient:acid_folic_vitamin_b9,https://trungtamthuoc.com/hoat-chat/acid-folic,Acid Folic (Vitamin B9),25,secondary_duocthu_reference
ingredient:acid_fusidic,https://trungtamthuoc.com/hoat-chat/acid-fusidic,Acid Fusidic,21,secondary_duocthu_reference
ingredient:acid_glycolic_aha,https://trungtamthuoc.com/hoat-chat/acid-glycolic,Acid Glycolic (AHA),11,secondary_duocthu_reference
ingredient:acid_mefenamic,https://trungtamthuoc.com/hoat-chat/acid-mefenamic,Acid Mefenamic,17,secondary_duocthu_reference
ingredient:acid_nalidixic,https://trungtamthuoc.com/hoat-chat/acid-nalidixic,Acid Nalidixic,21,secondary_duocthu_reference
ingredient:acid_salicylic_bha,https://trungtamthuoc.com/hoat-chat/acid-salicylic,Acid Salicylic (BHA),17,secondary_duocthu_reference
ingredient:acid_tranexamic,https://trungtamthuoc.com/hoat-chat/acid-tranexamic,Acid Tranexamic,30,secondary_duocthu_reference
ingredient:acid_ursodeoxycholic_ursodiol,https://trungtamthuoc.com/hoat-chat/acid-ursodesoxycholic,Acid Ursodeoxycholic (Ursodiol),18,secondary_duocthu_reference
ingredient:acid_zoledronic,https://trungtamthuoc.com/hoat-chat/acid-zoledronic,Acid Zoledronic,21,secondary_duocthu_reference
ingredient:acridone,https://trungtamthuoc.com/hoat-chat/acridone,Acridone,17,secondary_duocthu_reference
ingredient:aciclovir_acyclovir,https://trungtamthuoc.com/hoat-chat/aciclovir,Aciclovir (Acyclovir),30,secondary_duocthu_reference
ingredient:adapalene,https://trungtamthuoc.com/hoat-chat/adapalene,Adapalene,20,secondary_duocthu_reference
ingredient:adefovir_dipivoxil,https://trungtamthuoc.com/hoat-chat/adefovir-dipivoxil,Adefovir Dipivoxil,20,secondary_duocthu_reference
ingredient:ademetionine_s_adenosyl_l_methionine,https://trungtamthuoc.com/hoat-chat/ademetionine,Ademetionine/ S-adenosyl-L-methionine,14,secondary_duocthu_reference
ingredient:adenosine,https://trungtamthuoc.com/hoat-chat/adenosine,Adenosine,24,secondary_duocthu_reference
ingredient:epinephrin_adrenalin,https://trungtamthuoc.com/hoat-chat/adrenalin,Epinephrin (Adrenalin),31,secondary_duocthu_reference
ingredient:aescin_escin,https://trungtamthuoc.com/hoat-chat/aescin,Aescin (Escin),14,secondary_duocthu_reference
ingredient:albendazole,https://trungtamthuoc.com/hoat-chat/albendazole,Albendazole,27,secondary_duocthu_reference
ingredient:albumin,https://trungtamthuoc.com/hoat-chat/albumin,Albumin,19,secondary_duocthu_reference
ingredient:alendronate_natri_alendronate_acid_alendronate_sodium,https://trungtamthuoc.com/hoat-chat/alendronate-natri,"Alendronate natri (Alendronate acid, Alendronate sodium)",20,secondary_duocthu_reference
ingredient:alfuzosin_hydrochloride,https://trungtamthuoc.com/hoat-chat/alfuzosin-hydrochloride,Alfuzosin hydrochloride,21,secondary_duocthu_reference
ingredient:alimemazine_trimeprazin_methylpromazin,https://trungtamthuoc.com/hoat-chat/alimemazine,"Alimemazine (Trimeprazin, Methylpromazin)",24,secondary_duocthu_reference
ingredient:allopurinol,https://trungtamthuoc.com/hoat-chat/allopurinol,Allopurinol,28,secondary_duocthu_reference
ingredient:almagate,https://trungtamthuoc.com/hoat-chat/almagate,Almagate,17,secondary_duocthu_reference
ingredient:zavegepant,https://trungtamthuoc.com/hoat-chat/zavegepant,Zavegepant,11,secondary_duocthu_reference
ingredient:alpha_terpineol,https://trungtamthuoc.com/hoat-chat/alpha-terpineol,Alpha-Terpineol,25,secondary_duocthu_reference
ingredient:alprazolam,https://trungtamthuoc.com/hoat-chat/alprazolam,Alprazolam,23,secondary_duocthu_reference
ingredient:alverin_citrat,https://trungtamthuoc.com/hoat-chat/alverin,Alverin Citrat,14,secondary_duocthu_reference
ingredient:ambenonium_chloride,https://trungtamthuoc.com/hoat-chat/ambenonium-chloride,Ambenonium Chloride,19,secondary_duocthu_reference
ingredient:ambroxol,https://trungtamthuoc.com/hoat-chat/ambroxol,Ambroxol,18,secondary_duocthu_reference
ingredient:amikacin,https://trungtamthuoc.com/hoat-chat/amikacin,Amikacin,24,secondary_duocthu_reference
ingredient:amiodaron,https://trungtamthuoc.com/hoat-chat/amiodaron,Amiodaron,44,secondary_duocthu_reference
ingredient:amisulpride,https://trungtamthuoc.com/hoat-chat/amisulpride,Amisulpride,19,secondary_duocthu_reference
ingredient:amitriptylin,https://trungtamthuoc.com/hoat-chat/amitriptylin,Amitriptylin,27,secondary_duocthu_reference
ingredient:amlodipin,https://trungtamthuoc.com/hoat-chat/amlodipin,Amlodipin,24,secondary_duocthu_reference
ingredient:amoxicillin,https://trungtamthuoc.com/hoat-chat/amoxicillin,Amoxicillin,31,secondary_duocthu_reference
ingredient:ampicillin,https://trungtamthuoc.com/hoat-chat/ampicilin,Ampicillin,23,secondary_duocthu_reference
ingredient:anastrozol,https://trungtamthuoc.com/hoat-chat/anastrozol,Anastrozol,22,secondary_duocthu_reference
ingredient:arginine,https://trungtamthuoc.com/hoat-chat/arginine,Arginine,23,secondary_duocthu_reference
ingredient:argyrol,https://trungtamthuoc.com/hoat-chat/argyrol,Argyrol,18,secondary_duocthu_reference
ingredient:aspartame,https://trungtamthuoc.com/hoat-chat/aspartame,Aspartame,21,secondary_duocthu_reference
ingredient:aspirin_acid_acetylsalicylic,https://trungtamthuoc.com/hoat-chat/aspirin,Aspirin (Acid Acetylsalicylic),22,secondary_duocthu_reference
ingredient:atenolol,https://trungtamthuoc.com/hoat-chat/atenolol,Atenolol,27,secondary_duocthu_reference
ingredient:atorvastatin,https://trungtamthuoc.com/hoat-chat/atorvastatin,Atorvastatin,18,secondary_duocthu_reference
ingredient:atropin,https://trungtamthuoc.com/hoat-chat/atropin,Atropin,23,secondary_duocthu_reference
ingredient:atapulgit,https://trungtamthuoc.com/hoat-chat/atapulgit,Atapulgit,16,secondary_duocthu_reference
ingredient:azapentacene,https://trungtamthuoc.com/hoat-chat/azapentacene,Azapentacene,18,secondary_duocthu_reference
ingredient:azathioprin,https://trungtamthuoc.com/hoat-chat/azathioprin,Azathioprin,25,secondary_duocthu_reference
ingredient:azithromycin,https://trungtamthuoc.com/hoat-chat/azithromycin,Azithromycin,29,secondary_duocthu_reference
ingredient:bacillus,https://trungtamthuoc.com/hoat-chat/bacillus,Bacillus,20,secondary_duocthu_reference
ingredient:baclofen,https://trungtamthuoc.com/hoat-chat/baclofen,Baclofen,26,secondary_duocthu_reference
ingredient:bambuterol,https://trungtamthuoc.com/hoat-chat/bambuterol,Bambuterol,17,secondary_duocthu_reference
ingredient:basiliximab,https://trungtamthuoc.com/hoat-chat/basiliximab,Basiliximab,16,secondary_duocthu_reference
ingredient:benfotiamine,https://trungtamthuoc.com/hoat-chat/benfotiamine,Benfotiamine,14,secondary_duocthu_reference
ingredient:benzalkonium_chloride,https://trungtamthuoc.com/hoat-chat/benzalkonium,Benzalkonium Chloride,15,secondary_duocthu_reference
ingredient:benzathin_penicillin_g,https://trungtamthuoc.com/hoat-chat/benzathin-benzylpenicillin,Benzathin Penicillin G,19,secondary_duocthu_reference
ingredient:benzoyl_peroxide,https://trungtamthuoc.com/hoat-chat/benzoyl-peroxide,Benzoyl Peroxide,18,secondary_duocthu_reference
ingredient:benzylpenicilin_penicilin_g_benzylpenicillin,https://trungtamthuoc.com/hoat-chat/benzylpenicillin,"Benzylpenicilin (penicilin G, Benzylpenicillin)",26,secondary_duocthu_reference
ingredient:benzylthiouracil,https://trungtamthuoc.com/hoat-chat/benzylthiouracil,Benzylthiouracil,17,secondary_duocthu_reference
ingredient:berberin,https://trungtamthuoc.com/hoat-chat/berberin,Berberin,17,secondary_duocthu_reference
ingredient:besifloxacin,https://trungtamthuoc.com/hoat-chat/besifloxacin,Besifloxacin,16,secondary_duocthu_reference
ingredient:beta_glucan,https://trungtamthuoc.com/hoat-chat/beta-glucan,Beta Glucan,25,secondary_duocthu_reference
ingredient:betahistine,https://trungtamthuoc.com/hoat-chat/betahistine,Betahistine,16,secondary_duocthu_reference
ingredient:betaine,https://trungtamthuoc.com/hoat-chat/betain,Betaine,18,secondary_duocthu_reference
ingredient:betamethason,https://trungtamthuoc.com/hoat-chat/betamethason,Betamethason,27,secondary_duocthu_reference
ingredient:betaxolol,https://trungtamthuoc.com/hoat-chat/betaxolol,Betaxolol,27,secondary_duocthu_reference
ingredient:bevacizumab,https://trungtamthuoc.com/hoat-chat/bevacizumab,Bevacizumab,19,secondary_duocthu_reference
ingredient:bezafibrat,https://trungtamthuoc.com/hoat-chat/bezafibrat,Bezafibrat,21,secondary_duocthu_reference
ingredient:bilastine,https://trungtamthuoc.com/hoat-chat/bilastine,Bilastine,18,secondary_duocthu_reference
ingredient:biotin_vitamin_h_vitamin_b7_vitamin_b8,https://trungtamthuoc.com/hoat-chat/biotin,"Biotin (Vitamin H, Vitamin B7, Vitamin B8)",17,secondary_duocthu_reference
ingredient:bisacodyl,https://trungtamthuoc.com/hoat-chat/bisacodyl,Bisacodyl,21,secondary_duocthu_reference
ingredient:bismuth,https://trungtamthuoc.com/hoat-chat/bismuth,Bismuth,27,secondary_duocthu_reference
ingredient:bisoprolol,https://trungtamthuoc.com/hoat-chat/bisoprolol,Bisoprolol,28,secondary_duocthu_reference
ingredient:bosentan,https://trungtamthuoc.com/hoat-chat/bosentan,Bosentan,23,secondary_duocthu_reference
ingredient:brimonidine,https://trungtamthuoc.com/hoat-chat/brimonidin,Brimonidine,16,secondary_duocthu_reference
ingredient:bromelain,https://trungtamthuoc.com/hoat-chat/bromelain,Bromelain,18,secondary_duocthu_reference
ingredient:bromfenac,https://trungtamthuoc.com/hoat-chat/bromfenac,Bromfenac,16,secondary_duocthu_reference
ingredient:bromhexin_hydroclorid,https://trungtamthuoc.com/hoat-chat/bromhexin,Bromhexin hydroclorid,22,secondary_duocthu_reference
ingredient:bromocriptin,https://trungtamthuoc.com/hoat-chat/bromocriptin,Bromocriptin,37,secondary_duocthu_reference
ingredient:brompheniramin,https://trungtamthuoc.com/hoat-chat/brompheniramin,Brompheniramin,16,secondary_duocthu_reference
ingredient:budesonid,https://trungtamthuoc.com/hoat-chat/budesonid,Budesonid,26,secondary_duocthu_reference
ingredient:bupivacain_hydroclorid,https://trungtamthuoc.com/hoat-chat/bupivacaine,Bupivacain hydroclorid,30,secondary_duocthu_reference
ingredient:bupropion,https://trungtamthuoc.com/hoat-chat/bupropion,Bupropion,15,secondary_duocthu_reference
ingredient:butamirate,https://trungtamthuoc.com/hoat-chat/butamirate,Butamirate,16,secondary_duocthu_reference
ingredient:butylscopolamin_hyoscin_butylbromid,https://trungtamthuoc.com/hoat-chat/butylscopolamin,Butylscopolamin (Hyoscin butylbromid),25,secondary_duocthu_reference
ingredient:cabergoline,https://trungtamthuoc.com/hoat-chat/cabergoline,Cabergoline,16,secondary_duocthu_reference
ingredient:calci_clorid,https://trungtamthuoc.com/hoat-chat/calci-clorid,Calci Clorid,19,secondary_duocthu_reference
ingredient:calcifediol,https://trungtamthuoc.com/hoat-chat/calcifediol,Calcifediol,14,secondary_duocthu_reference
ingredient:calcipotriol,https://trungtamthuoc.com/hoat-chat/calcipotriol,Calcipotriol,20,secondary_duocthu_reference
ingredient:calcitonin,https://trungtamthuoc.com/hoat-chat/calcitonin,Calcitonin,17,secondary_duocthu_reference
ingredient:candesartan_cilexetil,https://trungtamthuoc.com/hoat-chat/candesartan-cilexetil,Candesartan cilexetil,26,secondary_duocthu_reference
ingredient:capecitabin,https://trungtamthuoc.com/hoat-chat/capecitabin,Capecitabin,27,secondary_duocthu_reference
ingredient:carbamazepine,https://trungtamthuoc.com/hoat-chat/carbamazepine,Carbamazepine,22,secondary_duocthu_reference
ingredient:carbazochrome,https://trungtamthuoc.com/hoat-chat/carbazochrome,Carbazochrome,14,secondary_duocthu_reference
ingredient:carbetocin,https://trungtamthuoc.com/hoat-chat/carbetocin,Carbetocin,17,secondary_duocthu_reference
ingredient:carbimazol,https://trungtamthuoc.com/hoat-chat/carbimazol,Carbimazol,24,secondary_duocthu_reference
ingredient:carbocisteine,https://trungtamthuoc.com/hoat-chat/carbocisteine,Carbocisteine,15,secondary_duocthu_reference
ingredient:carboprost,https://trungtamthuoc.com/hoat-chat/carboprost,Carboprost,17,secondary_duocthu_reference
ingredient:cardus_marianus,https://trungtamthuoc.com/hoat-chat/cardus-marianus,Cardus Marianus,13,secondary_duocthu_reference
ingredient:carnitine,https://trungtamthuoc.com/hoat-chat/carnitine,Carnitine,29,secondary_duocthu_reference
ingredient:carvedilol,https://trungtamthuoc.com/hoat-chat/carvedilol,Carvedilol,28,secondary_duocthu_reference
ingredient:casein,https://trungtamthuoc.com/hoat-chat/casein,Casein,13,secondary_duocthu_reference
ingredient:cefaclor,https://trungtamthuoc.com/hoat-chat/cefaclor,Cefaclor,27,secondary_duocthu_reference
ingredient:cefadroxil,https://trungtamthuoc.com/hoat-chat/cefadroxil,Cefadroxil,29,secondary_duocthu_reference
ingredient:cefalotin,https://trungtamthuoc.com/hoat-chat/cefalotin,Cefalotin,23,secondary_duocthu_reference
ingredient:cefamandol,https://trungtamthuoc.com/hoat-chat/cefamandol,Cefamandol,22,secondary_duocthu_reference
ingredient:cefazolin,https://trungtamthuoc.com/hoat-chat/cefazolin,Cefazolin,25,secondary_duocthu_reference
ingredient:cefdinir,https://trungtamthuoc.com/hoat-chat/cefdinir,Cefdinir,24,secondary_duocthu_reference
ingredient:cefditoren_pivoxil,https://trungtamthuoc.com/hoat-chat/cefditoren-pivoxil,Cefditoren Pivoxil,20,secondary_duocthu_reference
ingredient:cefepim,https://trungtamthuoc.com/hoat-chat/cefepime,Cefepim,33,secondary_duocthu_reference
ingredient:cefetamet,https://trungtamthuoc.com/hoat-chat/cefetamet,Cefetamet,17,secondary_duocthu_reference
ingredient:cefixim,https://trungtamthuoc.com/hoat-chat/cefixim,Cefixim,25,secondary_duocthu_reference
ingredient:cefoperazon,https://trungtamthuoc.com/hoat-chat/cefoperazon,Cefoperazon,25,secondary_duocthu_reference
ingredient:cefotaxim,https://trungtamthuoc.com/hoat-chat/cefotaxim,Cefotaxim,31,secondary_duocthu_reference
ingredient:cefotiam,https://trungtamthuoc.com/hoat-chat/cefotiam,Cefotiam,22,secondary_duocthu_reference
ingredient:cefoxitin,https://trungtamthuoc.com/hoat-chat/cefoxitin,Cefoxitin,29,secondary_duocthu_reference
ingredient:cefpirom,https://trungtamthuoc.com/hoat-chat/cefpirom,Cefpirom,23,secondary_duocthu_reference
ingredient:cefpodoxim_proxetil,https://trungtamthuoc.com/hoat-chat/cefpodoxim-proxetil,Cefpodoxim proxetil,30,secondary_duocthu_reference
ingredient:cefprozil,https://trungtamthuoc.com/hoat-chat/cefprozil,Cefprozil,23,secondary_duocthu_reference
ingredient:cefradin,https://trungtamthuoc.com/hoat-chat/cefradin,Cefradin,30,secondary_duocthu_reference
ingredient:ceftazidim,https://trungtamthuoc.com/hoat-chat/ceftazidim,Ceftazidim,25,secondary_duocthu_reference
ingredient:cefuroxim,https://trungtamthuoc.com/hoat-chat/cefuroxim,Cefuroxim,33,secondary_duocthu_reference
ingredient:celecoxib,https://trungtamthuoc.com/hoat-chat/celecoxib,Celecoxib,25,secondary_duocthu_reference
ingredient:cefalexin,https://trungtamthuoc.com/hoat-chat/cephalexin,Cefalexin,26,secondary_duocthu_reference
ingredient:cerebrolysin,https://trungtamthuoc.com/hoat-chat/cerebrolysin,Cerebrolysin,17,secondary_duocthu_reference
ingredient:cetirizine_hydrochlorid,https://trungtamthuoc.com/hoat-chat/cetirizine,Cetirizine Hydrochlorid,28,secondary_duocthu_reference
ingredient:cetrimid_cetrimide,https://trungtamthuoc.com/hoat-chat/cetrimid,Cetrimid (Cetrimide),16,secondary_duocthu_reference
ingredient:cetrorelix,https://trungtamthuoc.com/hoat-chat/cetrorelix,Cetrorelix,15,secondary_duocthu_reference
ingredient:chitosan,https://trungtamthuoc.com/hoat-chat/chitosan,Chitosan,26,secondary_duocthu_reference
ingredient:clorhexidin_chlorhexidine,https://trungtamthuoc.com/hoat-chat/clorhexidin,Clorhexidin (Chlorhexidine),28,secondary_duocthu_reference
ingredient:cloroquin,https://trungtamthuoc.com/hoat-chat/cloroquin,Cloroquin,22,secondary_duocthu_reference
ingredient:chlorphenesin_carbamat,https://trungtamthuoc.com/hoat-chat/chlorphenesin-carbamat,Chlorphenesin Carbamat,14,secondary_duocthu_reference
ingredient:choline,https://trungtamthuoc.com/hoat-chat/choline,Choline,12,secondary_duocthu_reference
ingredient:choline_alfoscerate_glycerophosphorylcholine,https://trungtamthuoc.com/hoat-chat/choline-alfoscerate,Choline Alfoscerate (Glycerophosphorylcholine),16,secondary_duocthu_reference
ingredient:chondroitin,https://trungtamthuoc.com/hoat-chat/chondroitin,Chondroitin,17,secondary_duocthu_reference
ingredient:human_chorionic_gonadotropin_hcg,https://trungtamthuoc.com/hoat-chat/choriogonadotropin,Human Chorionic Gonadotropin (HCG),14,secondary_duocthu_reference
ingredient:ciclopirox_ciclopiroxolamin,https://trungtamthuoc.com/hoat-chat/ciclopirox,Ciclopirox (Ciclopiroxolamin),19,secondary_duocthu_reference
ingredient:ciclosporin_cyclosporin_cyclosporin_a,https://trungtamthuoc.com/hoat-chat/ciclosporin,"Ciclosporin (Cyclosporin, Cyclosporin A)",16,secondary_duocthu_reference
ingredient:cilnidipin,https://trungtamthuoc.com/hoat-chat/cilnidipin,Cilnidipin,13,secondary_duocthu_reference
ingredient:cilostazol,https://trungtamthuoc.com/hoat-chat/cilostazol,Cilostazol,25,secondary_duocthu_reference
ingredient:cimetidin,https://trungtamthuoc.com/hoat-chat/cimetidine,Cimetidin,21,secondary_duocthu_reference
ingredient:cinnarizin,https://trungtamthuoc.com/hoat-chat/cinnarizine,Cinnarizin,23,secondary_duocthu_reference
ingredient:ciprofibrate,https://trungtamthuoc.com/hoat-chat/ciprofibrate,Ciprofibrate,17,secondary_duocthu_reference
ingredient:ciprofloxacin,https://trungtamthuoc.com/hoat-chat/ciprofloxacin,Ciprofloxacin,31,secondary_duocthu_reference
ingredient:cisplatin,https://trungtamthuoc.com/hoat-chat/cisplatin,Cisplatin,25,secondary_duocthu_reference
ingredient:citalopram,https://trungtamthuoc.com/hoat-chat/citalopram,Citalopram,55,secondary_duocthu_reference
ingredient:citicoline,https://trungtamthuoc.com/hoat-chat/citicoline,Citicoline,20,secondary_duocthu_reference
ingredient:citrulline,https://trungtamthuoc.com/hoat-chat/citrulline,Citrulline,15,secondary_duocthu_reference
ingredient:clarithromycin,https://trungtamthuoc.com/hoat-chat/clarithromycin,Clarithromycin,25,secondary_duocthu_reference
ingredient:clindamycin,https://trungtamthuoc.com/hoat-chat/clindamycin,Clindamycin,23,secondary_duocthu_reference
ingredient:clioquinol_iodochlorhydroxyquin,https://trungtamthuoc.com/hoat-chat/clioquinol-flumethasone,Clioquinol (Iodochlorhydroxyquin),18,secondary_duocthu_reference
ingredient:clobetasol_propionat,https://trungtamthuoc.com/hoat-chat/clobetasol-propionat,Clobetasol Propionat,19,secondary_duocthu_reference
ingredient:clomifen_clomifene_clomiphene,https://trungtamthuoc.com/hoat-chat/clomifen,"Clomifen (Clomifene, Clomiphene)",19,secondary_duocthu_reference
ingredient:clomipramin_hydrochlorid,https://trungtamthuoc.com/hoat-chat/clomipramin-hydrochlorid,Clomipramin Hydrochlorid,25,secondary_duocthu_reference
ingredient:clonidin,https://trungtamthuoc.com/hoat-chat/clonidin,Clonidin,29,secondary_duocthu_reference
ingredient:clopidogrel,https://trungtamthuoc.com/hoat-chat/clopidogrel,Clopidogrel,23,secondary_duocthu_reference
ingredient:clorpromazin_hydrochlorid,https://trungtamthuoc.com/hoat-chat/clorpromazin-hydrochlorid,Clorpromazin Hydrochlorid,29,secondary_duocthu_reference
ingredient:clotrimazol,https://trungtamthuoc.com/hoat-chat/clotrimazol,Clotrimazol,17,secondary_duocthu_reference
ingredient:cloxacilin,https://trungtamthuoc.com/hoat-chat/cloxacilin,Cloxacilin,24,secondary_duocthu_reference
ingredient:clozapin,https://trungtamthuoc.com/hoat-chat/clozapin,Clozapin,30,secondary_duocthu_reference
ingredient:codeine,https://trungtamthuoc.com/hoat-chat/codeine,Codeine,21,secondary_duocthu_reference
ingredient:coenzym_q10_ubidecarenone,https://trungtamthuoc.com/hoat-chat/coenzym-q10,Coenzym Q10 (Ubidecarenone),15,secondary_duocthu_reference
ingredient:colchicin,https://trungtamthuoc.com/hoat-chat/colchicin,Colchicin,32,secondary_duocthu_reference
ingredient:collagen,https://trungtamthuoc.com/hoat-chat/collagen,Collagen,23,secondary_duocthu_reference
