ingredient_id,name,normalized_name,source,source_url
ingredient:acarbose,Acarbose,acarbose,trungtamthuoc_duocthu,https://trungtamthuoc.com/hoat-chat/acarbose
ingredient:acebutolol,Acebutolol,acebutolol,trungtamthuoc_duocthu,https://trungtamthuoc.com/hoat-chat/acebutolol
ingredient:aceclofenac,Aceclofenac,aceclofenac,trungtamthuoc_duocthu,https://trungtamthuoc.com/hoat-chat/aceclofenac
ingredient:acenocoumarol,Acenocoumarol,acenocoumarol,trungtamthuoc_duocthu,https://trungtamthuoc.com/hoat-chat/acenocoumarol
ingredient:acetazolamide,Acetazolamide,acetazolamide,trungtamthuoc_duocthu,https://trungtamthuoc.com/hoat-chat/acetazolamide
ingredient:acetylcystein,Acetylcystein,acetylcystein,trungtamthuoc_duocthu,https://trungtamthuoc.com/hoat-chat/acetylcystein
ingredient:acetyl_dl_leucine_acetylleucine,Acetyl-DL-Leucine (Acetylleucine),acetyl_dl_leucine_acetylleucine,trungtamthuoc_duocthu,https://trungtamthuoc.com/hoat-chat/acetyl-dl-leucine
ingredient:acid_alendronic,Acid Alendronic,acid_alendronic,trungtamthuoc_duocthu,https://trungtamthuoc.com/hoat-chat/acid-alendronic
ingredient:acid_alpha_lipoic_ala_acid_thioctic,Acid Alpha Lipoic (ALA; Acid Thioctic),acid_alpha_lipoic_ala_acid_thioctic,trungtamthuoc_duocthu,https://trungtamthuoc.com/hoat-chat/acid-alpha-lipoic
ingredient:acid_azelaic,Acid Azelaic,acid_azelaic,trungtamthuoc_duocthu,https://trungtamthuoc.com/hoat-chat/acid-azelaic
ingredient:acid_boric,Acid Boric,acid_boric,trungtamthuoc_duocthu,https://trungtamthuoc.com/hoat-chat/acid-boric
ingredient:acid_folic_vitamin_b9,Acid Folic (Vitamin B9),acid_folic_vitamin_b9,trungtamthuoc_duocthu,https://trungtamthuoc.com/hoat-chat/acid-folic
ingredient:acid_fusidic,Acid Fusidic,acid_fusidic,trungtamthuoc_duocthu,https://trungtamthuoc.com/hoat-chat/acid-fusidic
ingredient:acid_glycolic_aha,Acid Glycolic (AHA),acid_glycolic_aha,trungtamthuoc_duocthu,https://trungtamthuoc.com/hoat-chat/acid-glycolic
ingredient:acid_mefenamic,Acid Mefenamic,acid_mefenamic,trungtamthuoc_duocthu,https://trungtamthuoc.com/hoat-chat/acid-mefenamic
ingredient:acid_nalidixic,Acid Nalidixic,acid_nalidixic,trungtamthuoc_duocthu,https://trungtamthuoc.com/hoat-chat/acid-nalidixic
ingredient:acid_salicylic_bha,Acid Salicylic (BHA),acid_salicylic_bha,trungtamthuoc_duocthu,https://trungtamthuoc.com/hoat-chat/acid-salicylic
ingredient:acid_tranexamic,Acid Tranexamic,acid_tranexamic,trungtamthuoc_duocthu,https://trungtamthuoc.com/hoat-chat/acid-tranexamic
ingredient:acid_ursodeoxycholic_ursodiol,Acid Ursodeoxycholic (Ursodiol),acid_ursodeoxycholic_ursodiol,trungtamthuoc_duocthu,https://trungtamthuoc.com/hoat-chat/acid-ursodesoxycholic
ingredient:acid_zoledronic,Acid Zoledronic,acid_zoledronic,trungtamthuoc_duocthu,https://trungtamthuoc.com/hoat-chat/acid-zoledronic
ingredient:acridone,Acridone,acridone,trungtamthuoc_duocthu,https://trungtamthuoc.com/hoat-chat/acridone
ingredient:aciclovir_acyclovir,Aciclovir (Acyclovir),aciclovir_acyclovir,trungtamthuoc_duocthu,https://trungtamthuoc.com/hoat-chat/aciclovir
ingredient:adapalene,Adapalene,adapalene,trungtamthuoc_duocthu,https://trungtamthuoc.com/hoat-chat/adapalene
ingredient:adefovir_dipivoxil,Adefovir Dipivoxil,adefovir_dipivoxil,trungtamthuoc_duocthu,https://trungtamthuoc.com/hoat-chat/adefovir-dipivoxil
ingredient:ademetionine_s_adenosyl_l_methionine,Ademetionine/ S-adenosyl-L-methionine,ademetionine_s_adenosyl_l_methionine,trungtamthuoc_duocthu,https://trungtamthuoc.com/hoat-chat/ademetionine
ingredient:adenosine,Adenosine,adenosine,trungtamthuoc_duocthu,https://trungtamthuoc.com/hoat-chat/adenosine
ingredient:epinephrin_adrenalin,Epinephrin (Adrenalin),epinephrin_adrenalin,trungtamthuoc_duocthu,https://trungtamthuoc.com/hoat-chat/adrenalin
ingredient:aescin_escin,Aescin (Escin),aescin_escin,trungtamthuoc_duocthu,https://trungtamthuoc.com/hoat-chat/aescin
ingredient:albendazole,Albendazole,albendazole,trungtamthuoc_duocthu,https://trungtamthuoc.com/hoat-chat/albendazole
ingredient:albumin,Albumin,albumin,trungtamthuoc_duocthu,https://trungtamthuoc.com/hoat-chat/albumin
ingredient:alendronate_natri_alendronate_acid_alendronate_sodium,"Alendronate natri (Alendronate acid, Alendronate sodium)",alendronate_natri_alendronate_acid_alendronate_sodium,trungtamthuoc_duocthu,https://trungtamthuoc.com/hoat-chat/alendronate-natri
ingredient:alfuzosin_hydrochloride,Alfuzosin hydrochloride,alfuzosin_hydrochloride,trungtamthuoc_duocthu,https://trungtamthuoc.com/hoat-chat/alfuzosin-hydrochloride
ingredient:alimemazine_trimeprazin_methylpromazin,"Alimemazine (Trimeprazin, Methylpromazin)",alimemazine_trimeprazin_methylpromazin,trungtamthuoc_duocthu,https://trungtamthuoc.com/hoat-chat/alimemazine
ingredient:allopurinol,Allopurinol,allopurinol,trungtamthuoc_duocthu,https://trungtamthuoc.com/hoat-chat/allopurinol
ingredient:almagate,Almagate,almagate,trungtamthuoc_duocthu,https://trungtamthuoc.com/hoat-chat/almagate
ingredient:zavegepant,Zavegepant,zavegepant,trungtamthuoc_duocthu,https://trungtamthuoc.com/hoat-chat/zavegepant
ingredient:alpha_terpineol,Alpha-Terpineol,alpha_terpineol,trungtamthuoc_duocthu,https://trungtamthuoc.com/hoat-chat/alpha-terpineol
ingredient:alprazolam,Alprazolam,alprazolam,trungtamthuoc_duocthu,https://trungtamthuoc.com/hoat-chat/alprazolam
ingredient:alverin_citrat,Alverin Citrat,alverin_citrat,trungtamthuoc_duocthu,https://trungtamthuoc.com/hoat-chat/alverin
